putativeCellType,geneticLine,acgPeak,burstIndex,firingRate,troughtToPeak,brainRegion,lightResponse,rateDuringRipples,preferedThetaphase,thetaModulation,sessionName
Narrow Interneuron,id2/dlx/ai80,1.82,1.08198751076658,2.60945753780014,0.323083519608527,PTLp,0,-0.590565212612101,5.31537484990669,0.067752535356614,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.18,1.95438084427869,1.38138187327083,0.582317953482338,CA1sp,0,2.34823496022152,3.48828625885802,0.217836410812767,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.82,0.727436416835472,0.754244328075355,0.606092964375852,PTLp,0,1.36177192482188,2.36231920986172,0.0366389472998246,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.7,1.27996566696961,1.55435494543866,0.561706720646122,PTLp,0,1.76509978222308,4.40380330819667,0.0208605530922104,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.82,1.49902676399027,0.699791161254535,0.563348016921831,PTLp,0,1.43402370198107,5.58209713278359,0.0252903487499583,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.34,0.449019039335073,0.800962645755615,0.546987838595445,PTLp,0,1.36117922450817,4.34468312166245,0.0233354777531835,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.38,0.386049315729186,2.64019089376479,0.634391308072261,PTLp,0,2.440901854781,4.24997662843798,0.0119365684712185,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.34,2.82541287495787,0.60454824716849,0.370785060241318,CA3,0,3.90322852780868,2.34060515595515,0.384884029440457,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.38,0.665287990196078,1.50841566026494,0.594243562317375,PTLp,0,0.986716225201651,5.47050721912065,0.0252666535412818,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.54,0.581797235023041,1.11580063658469,0.49646883471691,PTLp,0,1.25992439492484,2.92291462314863,0.00628112889044251,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.14,0.259321277070775,1.47397450864645,0.532831954177422,PTLp,0,1.34715062810913,0.597897931436167,0.0113262287803203,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.1,0.0892949237456716,1.76130098481984,0.54521026542366,PTLp,0,1.36108470327096,1.9329664237117,0.0296355416504787,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.26,2.36571568357643,2.48565052595755,0.533608299395045,CA1sp,0,3.22713524259024,3.25849564596681,0.206308776831541,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,1.86,0.559078099838969,1.43654172208897,0.357714301193924,CA3,0,4.52622850216337,2.57506837027675,0.37271906845186,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,1.7,0.484057120500782,1.16245145951272,0.282677352686063,PTLp,0,0.636306586023765,2.98418182844207,0.0101756409382124,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.26,2.16949299939125,1.83387247571027,0.636307280765634,CA1sp,0,4.12587266259557,3.39343080832445,0.236990909510901,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.26,3.87529976019185,0.216379914216499,0.743824576332143,PTLp,0,0.255654996282457,6.16215868089295,0.00788809512540357,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.58,1.04362801377727,0.644348924928882,0.531530935058509,DG,0,5.03435938967385,3.04285401560784,0.146904801222112,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.22,2.14542483660131,0.561191423629345,0.254246132620057,CA1sp,0,7.30495015747247,2.43683595011993,0.365520561293113,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.18,0.0852104952332743,1.06746690774473,0.671335642039803,PTLp,0,2.84287519727558,4.17264255790993,0.00116712263505834,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.3,1.56806299413415,0.96242229411396,0.714017121575725,PTLp,0,2.98849399171284,4.29885133259189,0.0230606522287953,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.78,1.00211104074309,0.942108123682846,0.492433558408052,PTLp,0,1.73748897105228,3.41274839084615,0.0380348787368552,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.02,0.732946298984035,1.24529661730512,0.707242405426427,PTLp,0,1.22515579446096,5.59339065343938,0.00710857068797706,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.18,1.05208333333333,0.49724090619394,0.666159717739157,PTLp,0,0.666989854238313,3.18939133643298,0.0297076528467201,fnkx9_200818_sess2
