SessionName,Subject,Path,Location,Strain,GeneticLine,Optogenetics,Behavior,numCells,brainRegions,Project,n� neurons,Pyr,Inh,A,B,Neuroscope,
fcamk3_201116_sess23,fcamk3,fcamk3\fcamk3_201116_sess23,neural3,c57b1/6,camkii/ai32,uled-12led-32ch-4shanks,linear maze linear maze,60,CA1sp CA1so CA1sr,uLEDiscotheque,,,,,,,
fnkx8_200902_sess13,fnkx8,fNkx8\fNkx8_200902_sess13,neural,c57b1/6,id2/dlx/ai80,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,84,PTLp CA1so CA1sp CA1sr CA1slm CA3 DG,Bibliocampus,3,2,1,7,,no,
fcamk10_220920_sess8,fcamk10,fcamk10\fcamk10_220920_sess8,neural3,c57b1/6,camkii/ai32,uled-12led-32ch-4shanks,no,36,CA1sp CA1so,uLEDiscotheque,,,,,,,
fnkx8_200903_sess14,fnkx8,fNkx8\fNkx8_200903_sess14,neural,c57b1/6,id2/dlx/ai80,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,93,PTLp CA1sp CA1so CA3 DG CA1slm CA1sr,Bibliocampus,3,2,1,7,,no,
fnkx8_200908_sess16,fnkx8,fNkx8\fNkx8_200908_sess16,neural,c57b1/6,id2/dlx/ai80,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,39,PTLp CA1so CA1sp CA1sr CA1slm CA3 DG,Bibliocampus,2,1,1,"7, 8",,yes,
fnkx8_200909_sess17,fnkx8,fnkx8\fnkx8_200909_sess17,neural,c57b1/6,id2/dlx/ai80,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,49,PTLp CA1sp CA3 CA1slm CA1sr DG,Bibliocampus,3,,3,"6, 7",6,yes,
fnkx8_200910_sess18,fnkx8,fNkx8\fNkx8_200910_sess18,neural,c57b1/6,id2/dlx/ai80,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",no,123,PTLp CA1sp CA1so CA3 DG CA1slm CA1sr,Bibliocampus,8,2,6,"6, 7, 8","3, 5, 8",yes,
fnkx8_200911_sess19,fnkx8,fNkx8\fNkx8_200911_sess19,neural,c57b1/6,id2/dlx/ai80,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,96,PTLp CA1sp CA1sr CA1slm CA3 DG,Bibliocampus,6,1,5,"6, 7","3, 5, 6",yes,
fcamk10_220922_sess10,fcamk10,fcamk10\fcamk10_220922_sess10,neural3,c57b1/6,camkii/ai32,uled-12led-32ch-4shanks,no,60,CA1sp CA1so,uLEDiscotheque,,,,,,,
fcamk10_220921_sess9,fcamk10,fcamk10\fcamk10_220921_sess9,neural3,c57b1/6,camkii/ai32,uled-12led-32ch-4shanks,no,50,CA1sp CA1so,uLEDiscotheque,,,,,,,
fcamk10_220923_sess11,fcamk10,fcamk10\fcamk10_220923_sess11,neural3,c57b1/6,camkii/ai32,uled-12led-32ch-4shanks,linear maze,57,CA1so CA1sp,uLEDiscotheque,,,,,,,
fcamk10_220926_sess12,fcamk10,fcamk10\fcamk10_220926_sess12,neural3,c57b1/6,camkii/ai32,uled-12led-32ch-4shanks,linear maze,60,CA1so CA1sp,uLEDiscotheque,,,,,,,
fcamk10_220927_sess13,fcamk10,fcamk10\fcamk10_220927_sess13,neural3,c57b1/6,camkii/ai32,uled-12led-32ch-4shanks,linear maze,58,CA1sp CA1sr CA1so,uLEDiscotheque,,,,,,,
fcamk10_220928_sess14,fcamk10,fcamk10\fcamk10_220928_sess14,neural3,c57b1/6,camkii/ai32,uled-12led-32ch-4shanks,linear maze,67,CA1sr CA1sp CA1so,uLEDiscotheque,,,,,,,
fcamk10_220929_sess15,fcamk10,fcamk10\fcamk10_220929_sess15,neural3,c57b1/6,camkii/ai32,uled-12led-32ch-4shanks,linear maze,60,CA1sr CA1sp CA1so,uLEDiscotheque,,,,,,,
fnkx8_200915_sess21,fnkx8,fNkx8\fNkx8_200915_sess21,neural,c57b1/6,id2/dlx/ai80,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,83,PTLp CA1sp CA1so CA1slm CA3 DG CA1sr,Bibliocampus,9,3,6,"5, 6, 7, 8","3, 6, 8",yes,
fnkx9_200817_sess1,fnkx9,fnkx9\fnkx9_200817_sess1,neural,c57b1/6,id2/dlx/ai80,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,70,PTLp5 PTLp6 PTLp2_3 CA1so CA1sp CA1sr CA1slm CA3,Bibliocampus neuroGli2d,26,11,15,"2, 4, 8","6, 7, 8",no,16
