putativeCellType,geneticLine,acgPeak,troughtToPeak,brainRegion,lightResponse,rateDuringRipples,preferedThetaphase,thetaModulation,sessionName
Wide Interneuron,id2/dlx/ai80,1.62,0.566666666666667,PTLp,0,1.35364571369375,4.3418447302652,0.0149790326648491,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.18,0.4,DG,0,5.0109705212307,2.0694882676323,0.218059156221418,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.06,0.725,PTLp,0,2.86972021591776,4.31777046565805,0.0242141336194342,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.1,0.725,PTLp,0,1.4070529413629,5.32099790738865,0.0291467819107612,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.74,0.558333333333333,PTLp,0,1.7102762746851,0.834910086345897,0.0172019604416051,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.3,0.283333333333333,CA1sp,0,6.98450149627479,3.03379481026895,0.254399260137831,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.02,0.55,PTLp,0,0.769896602010323,1.66080958564484,0.0212397539173611,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.14,0.558333333333333,CA1sp,0,10.7918999513683,3.52422655188387,0.387110547933292,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.3,0.75,DG,0,6.29168547433297,2.39489767980876,0.204955922328979,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.86,0.633333333333333,DG,0,8.31943803245178,2.18286734992187,0.176183007850353,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.86,0.558333333333333,CA3,0,1.47975384371062,3.8448022952578,0.178965746875128,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.38,0.558333333333333,PTLp,0,2.54967094745984,4.00123799090096,0.0257453997641654,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.06,0.333333333333333,DG,0,14.2906133856896,2.5901983490266,0.206141759219512,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.583333333333333,CA1sp,0,17.3004043299664,2.45190315275708,0.151934781162611,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,2.06,0.258333333333333,CA3,0,10.0072772960094,1.77069650883556,0.285870393519052,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.741666666666667,CA1sp,0,5.02753026182675,2.5000016377393,0.164898873320666,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,1.98,0.375,CA1sp,0,19.1064964966538,3.29473673144961,0.27306208688196,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.758333333333333,CA1sp,0,17.7468459795889,2.23430227800055,0.155139700842287,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.75,CA1sp,0,4.31525239038807,2.73751474829147,0.123344750886216,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.683333333333333,CA1sp,0,14.5610106050759,3.16043986831555,0.163216532550734,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.708333333333333,CA1sp,0,7.63102344948478,2.42935312003413,0.0769914899336572,fnkx8_200911_sess19
Wide Interneuron,id2/dlx/ai80,1.62,0.466666666666667,CA1sp,0,-0.495246281194694,2.55517627798799,0.18285114872704,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,1.98,0.433333333333333,CA1sp,0,5.51324762753943,2.01175877541063,0.199896922580921,fnkx8_200911_sess19
